Vr,Dec
7515,12.03616667
587.55,12.03847222
8115,12.06833333
3711.786912,12.10333333
4105.773715,12.10833333
3766.222556,12.11
6741.463931,12.11
626.0286387,12.11333333
203.9382153,12.13333333
1108.705437,12.16333333
3927.060366,12.165
3909.52864,12.16641667
3915.039558,12.18
4044.11026,12.19833333
6666.846755,12.21783333
1274.387187,12.23666667
877.9480957,12.25166667
1043.346573,12.26
3852.34093,12.26544444
2442.623383,12.28166667
863.9347916,12.28833333
8461.371535,12.28833333
2241.764079,12.29
597.2121722,12.29338889
66.74462387,12.29716667
6700.091244,12.29833333
618.2700905,12.30333333
614.4495008,12.32333333
882.2831365,12.33166667
949.4921903,12.33333333
1202.028093,12.36166667
9071.543844,12.37516667
737.1930053,12.38833333
681.1519139,12.4
7113.280653,12.42166667
675.8685798,12.43
6999.299595,12.44166667
7339.158362,12.455
4474.021678,12.48166667
665.9508139,12.48833333
8115.080398,12.50166667
1176.54569,12.52166667
7414.393241,12.555
767.0478287,12.55833333
7291.071272,12.595
4718.933656,12.63833333
7581.779282,12.67666667
917.6736558,12.70325
1070.2703,12.71386111
7010.59721,12.71877778
6738.63908,12.75
7078.123959,12.75433333
8057.996133,12.758
7050.209942,12.84
8407.019171,12.86522222
2412.481691,12.87111111
7937.147006,12.87666667
7006.563591,12.885
7014.269756,12.89666667
6740.559609,12.9
7653.137199,12.905
7212.271723,12.91
7521.160614,12.9165
5430.082063,12.91666667
6834.016597,12.91866667
6222.222503,12.91916667
7256.043994,12.92833333
7701.552906,12.93619444
7827.701741,12.94433333
4599.600182,12.94861111
7119.446002,12.95277778
7150.011681,12.953
5867.674863,12.96
6497.660851,12.96208333
8450.202362,12.96466667
7261.065847,12.97
5873.165743,12.97333333
7937.570645,12.975
5449.502184,12.98333333
5536.354004,12.98533333
7682.566666,12.9915
6406.141851,13.00555556
5807.910099,13.01016667
7020.575637,13.02386111
5890.455847,13.04333333
6714.675123,13.04683333
2555.914903,13.05666667
7006.025134,13.065
6600.091545,13.1
5901.327413,13.10833333
5612.636329,13.12333333
7118.295041,13.145
6996.027016,13.155
6401.46049,13.18333333
7427.365183,13.20333333
6730.805797,13.22
5578.453461,13.23
5788.501597,13.235
5568.976583,13.25333333
5611.624358,13.26833333
6630.569512,13.28
2118.245584,13.28833333
4988.697401,13.3
5042.579038,13.32166667
7273.288635,13.32333333
2577.920223,13.34333333
2429.480386,13.34333333
10299.59431,13.345
4784.312434,13.35666667
6649.339943,13.36038889
7191.961383,13.45827778
5008.570262,13.46622222
7346.008135,13.46886111
11115.76715,13.58477778
8553.377945,13.62363889
4850.750439,13.62680556
11024.80939,13.67666667
10432.88868,13.68111111
11978.24255,13.685
4612.301076,13.75
7066.142802,13.80333333
11456.47322,13.80333333
2379.615977,13.90833333
11294.04908,13.91777778
7954.731151,13.93
10945.09621,13.95655556
7990.054358,13.975
8166.185414,13.97833333
7936.510847,13.98
4533.155855,14.01336111
4566.98399,14.03833333
8226.782441,14.095
10379.5048,14.16
4312.453442,14.17333333
5294.176439,14.18361111
9179.460768,14.19166667
10947.58526,14.25169444
2315.570877,14.26833333
10993.75145,14.305
9121.172608,14.31666667
10294.88571,14.32166667
8945.815074,14.395
9105.786585,14.40833333
3869.211654,14.41358333
4049.107313,14.41680556
3941.641947,14.43833333
4325.988119,14.43833333
4141.872553,14.44280556
3550.042292,14.445
4314.875528,14.45
4301.783206,14.4515
4299.007845,14.45166667
4516.297961,14.46641667
3465.412728,14.46666667
3872.321552,14.475
4456.942513,14.48230556
9098.47751,14.49833333
4262.148726,14.50333333
3511.193312,14.50833333
9311.147816,14.52494444
9507.037029,14.53166667
8743.018333,14.53666667
8941.288893,14.53833333
8911.939564,14.54
10341.15965,14.56666667
3745.030944,14.61
10389.85324,14.61333333
6694.728096,14.63166667
6839.037711,14.64
9610.125427,14.655
3729.039539,14.67
9031.831537,14.72166667
9079.758346,14.78827778
9023.211398,14.81166667
6803.779118,14.83333333
6877.94041,14.83833333
2830.802341,14.86666667
6964.210677,14.87
1772.365099,14.90666667
1775.381483,14.925
6659.772667,14.95666667
9975.367418,15.03947222
9276.33925,15.04166667
10017.039,15.05905556
9238.007296,15.26586111
9395.884855,15.29666667
9448.620179,15.32
9388.475207,15.33166667
6876.506977,15.34472222
10219.55481,15.415
10442.57726,15.46052778
9818.501757,15.47
2058.675645,15.545
9692.286154,15.55166667
1778.874076,15.55333333
7752.633823,15.55427778
1673.35609,15.57158333
2073.110409,15.61666667
9428.589872,15.63333333
9807.148098,15.64
9797.165312,15.645
9737.889057,15.655
9634.649384,15.65502778
9938.605639,15.66333333
9583.890468,15.685
10071.49517,15.695
9665.134545,15.69833333
2123.669627,15.72666667
9169.112455,15.73833333
9054.615894,15.74572222
9613.033608,15.76166667
2166.939628,15.78166667
9284.832662,15.80833333
5931.153149,15.86833333
6301.662243,15.89833333
9518.87072,15.92425
